Total:,361,Issues,In progress,7,20,Digitz DL,Dgtz HoS,bagged,Isl,148,Digtz DL,Digtz HoS,Available,bagged,,Isl,,,,,148,Digitized DL,Dz HoS,Available,bagged,,,,Isl,,,,,,,,,,,,
Digitized,231,4,In QC,2,1 highlight,19,1,20,18,2 feature,103,14,4,96,,79,,,,,3 digital,74,3,31,50,,,,35,,,,,,,,,,,,
In Island,134,,Prepping,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en route,35,,Bagged,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digitized,Start date of digitiz'n,End date of QC,ready to script,ready to bag,Bagging date,Removed from NAS / fully replicated (date),To Islandora,"Loaded into Islandora, date",MMS ID,Location,File name,Tiffs (#),Tiffs (GB),"In digital
exhibit",Digital exhibit +/-,Pre-exhibit assessment,Repair needed pre-exhibit,Repair start date,Repair end date,Physical display,"Not accessible, date",Author,Year,Title,Place of publication,Oversized non-book work,Language,Keywords,Notes DL,DL server origin 2015,#images,Size (GB),Notes HOSC,Site,Gallery,Date of gallery opening,Date of gallery closing,Priority in exhibit,Batch,Notes KM,HOS gallery link
,,,,,,,,,99206916202042,,,,,3 Yes,ADD,5/18/2015,,,,YES,7/9/2015,"Porta, Giambattista della",1637,Della fisonomia di tutto il corpo humano,Rome,,,,,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
DL,,,,,done,,rsync1,7/9/2015,99134762202042,UL-Bagit [file archive],Porta_1658,432,99,2 Feature,,5/18/2015,,,,YES,7/9/2015,"Porta, Giambattista della",1658,Natural Magick,London,,English,"natural philosophy, mathematics, alchemy, magic",English translation. About 425 pages.,,,106,ACM5778,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,English trans.,http://hos.ou.edu/galleries//16thCentury/DellaPorta/1658/
DL,,,,7/31/2015,done,,hd8,8/15/2015,99153209402042,Bagit2,Proclus_1511,33,8,3 Yes,,6/22/2015,,,,YES,7/15/2015,Proclus,1511,Procli Diadochi sphaera,Vienna,,,,,WS1,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
DL,,,,,done,,rsync2,7/24/2015,99332404502042,UL-Bagit [file archive],Ptolemy_1541,567,130,3 Yes,,5/14/2015,,,,YES,,Ptolemy,1541,Omnia quae extant opera,Basel,,,,,,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2a,,,
DL,8/28/2014,9/29/2014,8/7/2015,8/11/2015,8/14/2015,,hd9,8/23/2015,99333179302042,Bagit2,Ptolemy_1545,557,134,2 Feature,,4/28/2015,,,,YES,7/9/2015,Ptolemy,1545,Geographia universalis,Basel,,,,"DigiLab may want to re-digitize the maps with overhead scanner + glass plate arriving soon. -BKL March 9. 28 p. l., 195, [1] p. illus., 54 double plates (maps) 32 cm. ",WS1,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
,,,,,,,,,99111672602042,,,,,3 Yes,ADD,6/9/2015,,,,YES,7/23/2015,Ptolemy,1610,De praedictionibus astronomicis... Quadripartitum,Prague,,,,CANON. 300 images. 14 cm.,,,,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,,,,
DL,7/17/2015,7/23/2015,7/23/2015,8/3/2015,done,,hd8,8/15/2015,99212455802042,Bagit2,Ptolemy_1682,365,88,2 Feature,ADD,,,,,YES,,Ptolemy,1682,Armonikon,Oxford,,,,CANON. 350 images. 24 cm.,,,,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2d,,,
,,,,,,,,,99184316602042,,,,,3 Yes,,6/9/2015,,,,YES,7/23/2015,Ptolemy; Erasmus Reinhold,1549,Ptolemaei mathematic constructionis [Almagest],Wittenberg,,,,CANON. 150 images. 17 cm. ,,,,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,3,,,
DL,,,,,7/7/2015,,hd2,7/15/2015,99137813002042,Bagit1,Ptolemy_1496,227,62,2 Feature,,5/22/2015,,,,YES,,Ptolemy; Regiomontanus,1496,Epytoma Joanis de mote regio In almagestu ptolomei [Almagest; Epitome of Ptolemy's Almagest],Venice,,Latin,"Astronomy, Mathematics, Geometry, Ptolemy, The Almagest",,WS1,,,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,,4/5 This is the first printed edition of the Almagest (Ptolemy is the primary author).  Regiomontanus was the most accomplished astronomer in Europe during the Renaissance (1400's).  This is an epoch making book.,
,,,,,,,,,99122306502042,,Pugh_1794,,,3 Yes,,6/26/2015,,,,YES,,"Pugh, John",1794,A treatise on the science of muscular action,London,,,,HASSELBLAD. 130 images. 34 cm.,,,,,Headington Hall,,10/15/2015,4/15/2016,2',,,
DL,,,,,done,,rsync2,7/24/2015,99147535502042,UL-Bagit [file archive],Ramelli_1588,737,177,1 Highlight,,5/22/2015,,,,YES,7/15/2015,"Ramelli, Agostino",1588,Le diverse et artificiose machine,,,,,,,,201,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,1,,,
HOS,,-,8/25/2015,,,,,,99249571902042,WS2|Ready for script,Regiomontanus_1476,,,2 Feature,,5/22/2015,,,,YES,,Regiomontanus,1476,Calendarium,Venice,,Latin,"Astronomy, Mathematics, Geometry","HASSELBLAD. 250 pages? [32] l. woodcuts: initials, borders, diagrs. (1 movable, 1 with brass pointer) 4 . 30 cm. ",,300,60,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,,,
DL,5/15/2015,7/10/2015,,7/31/2015,done,,hd8,8/15/2015,99304841002042,Bagit2,Reimers_1588,110,26,3 Yes,,5/8/2015,,,,YES,7/15/2015,"Reimers Ursus, Nicholas",1588,Fundamentum astronomicum,Strassburg,,Latin,,"CANON. [4], 40 leaves, [3] folded leaves of plates : ill. ; 22 cm. ",WS1,,,,History of Science Collections,Controversy over the Comets,8/1/2015,8/31/2016,2',B1,,http://hos.ou.edu/galleries//16thCentury/Ursus/1588/
HOS,,-,8/25/2015,,,,,,9945084302042,WS2|Ready for script,Reinhold_1550,,,2 Feature,,6/1/2015,,,,,,"Reinhold, Erasmus",c. 1550,Demonstratio halonis [manuscript],,,,,"CANON. [2], [7], [7] p., bound : ill. ; 21 cm. (4to) ",,,,"Explanation of halo shown in early Aristotle copy, above                                                                                                                    Manuscript; migration of a meteorology topic to a lecture by an early Copernican",National Weather Center,,,8/31/2016,2',,,
DL,7/28/2015,8/4/2015,,,,,,,99341454202042,WS|HoS|Ready to export,Reische_1599,,,N,,"5/28/2015, 6/22/2015",,,,YES,,"Reische, Gregorius",1599,Margarita filosofica,Venice,,,,"CANON. About 1,180 images. 23 cm",WS1,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',,,
DL,,,,,done,,rsync2,7/23/2015,99281380402042,UL-Bagit [file archive],Ricci_1616,671,161,2 Feature,,6/8/2015,,,,YES,7/15/2015,"Ricci, Matteo; Nicolaus Trigault",1616,De Christiana expeditione apud Sinas,Lyon,,Latin,"China, Jesuits, Astronomy, Geography, Nicolas Trigault.","Matteo Ricci led a group of Jesuits to China.  This is his journal, published posthumously by Trigault.",,,160,ocm37802893,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,1,,,
DL,,done,8/6/2015,8/11/2015,8/14/2015,,hd9,8/23/2015,99160516802042,Bagit2,"Riccioli_1651, Riccioli_1651_p2",1558,94,2 Feature,,5/13/2015,,,,YES,7/15/2015,"Riccioli, Giovanni Battista",1651,Almagestum novum (2 parts),Bologna,,,,"2 parts make up 1 volume, 860+680 pages. 38 cm",TempWS,,,,History of Science Collections; Fred Jones Jr Museum of Art,Controversy over the Comets,8/1/2015,8/31/2016,1,,,
DL,,,redo,,,,,,99240604902042,WS2|Prep and export / Bagit1,Sacrobosco_1490,110,26,3 Yes,,6/16/2015,,,,YES,7/15/2015,"Sacro Bosco, Joannes de",1490,Sphaera mvndi [bound with Peurbach 1580 Theoricae novae planetarum],Venice,,Latin,,"(Bosco, Sacrobosco)",Special,,29.3,HOS,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99176536302042,,,,,N,,6/24/2015,,,,YES,7/15/2015,"Sacro Bosco, Johann de",1545,De sphaera,Wittenberg,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,,,,
DL,,done,,,,,,,99275038202042,WS|HoS|Ready to export,Santorio_1629,404,97,N,SUBTRACT,5/8/2015,,,,-,,"Santorio, Santorio",1629,Commentaria in ... Aphorismorum Hippocratis,Venice,,,,"CANON. [24] p., 532, 170, [2] columns. 23 cm.",WS1,,,,,,,,2',B1,,
DL,,done,8/10/2015,8/11/2015,8/14/2015,,hd9,8/23/2015,9923017702042,Bagit2,Santorio_1646,618,148,2 Feature,,6/30/2015,,,,YES,,"Santorio, Santorio",1646,Commentaria ... Avicennae,Venice,,,,"About 1100 pages, 24 cm",,,198,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,1,,,
DL,7/15/2015,7/24/2015,8/5/2015,8/11/2015,8/15/2015,,hdx0,,99334147102042,Bagit2,Schedel_1493,630,151,2 Feature,,6/9/2015,,,,YES,,"Schedel, Hartmann",1493,Liber chronicarum [Nuremberg chronicle],Nuremberg,,,,QUARTZ & HASSELBLAD. [656] p.; 3 blank l. illus. maps. 45 cm. Nichols,WS1,670,134,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,B3,,
DL,,,,,done,,hd2,loaded?,99226246302042,Bagit1,Scheiner_1630,918,26,3 Yes,,7/1/2015,,,,,,"Scheiner, Christoph",1630,Rosa Vrsina,[Bracciano?],,Latin,"Astronomy, Sunspots, Jesuits, Federico Cesi, Daniel Widman","5/5 Large thick book; 800+ pages. Comparable to Hevelius in complexity and significance. The definitive work on sunspots for the 17th century, by one of the prominent astronomer contemporaries of Galileo.",Special,,271,ACM5773,National Weather Center,,,8/31/2016,1,,,
DL,,7/10/2015,done,,7/28/2015,,hd6,8/7/2015,99563101902042,Bagit2,Scherer_1710,10,13,2 Feature,,5/20/2015,,,,YES,,"Scherer, Heinrich",1700,Typus Totius Orbis Terraquei Geographice [map],Munich,YES,Latin,,"Quartz. Hand colored world map gores, single sheet // 8 1/2 x 13 3/4 inches",WS1,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2a,,,
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Scheuchzer, Johann Jakob",1708,Piscium querelae et vindiciae,[Tiguri],,,,CANON. ,,,,,,,,,2c,,,
DL,,,,,,,,,99190569402042,WS2|HoS,Steno_1669,101,4,N,SUBTRACT,,,,,-,,"Steno, Nicolaus",1669,De solido intra solidum [Prodromus],Florence,,,,"~80 pages, 26 cm. DL in progress. Too big for Travellers",TempWS,,,,,,,,1,,,
,,,,,,,,,9928877402042,,,,,3 Yes,,6/15/2015,,,,YES,7/15/2015,"Schickard, Wilhelm",1698,Astroscopium,Stuttgart,,,,,,,,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,2'',,,
DL,5/18/2015,7/9/2015,,,done,,hd6,8/8/2015,99121680602042,Bagit2,Schott_1664,1280,227,2 Feature,,5/6/2015,,,,,,"Schott, Gaspar",1664,Technica Curiosa,Nuremberg,,,,"CANON. Hasselblad in fact. 6630 px H. 20 p. l., 1044, [16] p. illus., 61 pl. (15 fold.) port., tables, diagrs. 21 x 17 cm.",WS1,,,,National Weather Center,,,8/31/2016,2',B1,,
,,,,,,,,,99242014002042,,,,,3 Yes,,6/15/2015,,,,YES,7/15/2015,"Schott, Gaspar",1668,Organum mathematicum (2 volumes),,,,,CANON. ,,,,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,2',,,
DL,,,,,done,,rsync1,7/13/2015,99554906502042,UL-Bagit [file archive],Schreck_1830,426,89,1 Highlight,,6/8/2015,,,,YES,7/15/2015,"Schreck, Johann Terenz",1830,Ensei kiki zusetsu rokusai,Japan,,"Chinese, Japanese","Mathematics, Jesuits, Engineering, Joannes Terentius",First printed in China as Qi qi tu shuo in 1627.,,,95.2,,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,1,,in Chinese with Sino-Japanese notes and Japanese-style illustrations; Japan,
,,,,,,,,,99362534002042,,,,,3 Yes,,6/8/2015,,,,YES,7/15/2015,"Semedo, Alvaro",1655,History of that great and renowned monarchy of China,London,,,,"HASSELBLAD. Bass. 5 p. ., 308 p. incl. port., map. pl., fold. map. 29 cm. ",,330,66,,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,2',,,
DL,,done,,,,,,,99367862902042,WS|HoS|Ready to export,Seneca_1522,306,73,3 Yes,,6/1/2015,,,,,,Seneca,1522,Naturalium quaestiunum,Venice,,,,"CANON. [6], 130, [6] leaves ; 20 cm. ",WS1,160,32,"Natural Questions, Aldine ed.",National Weather Center,,,8/31/2016,2',,,
HOS,,-,,,,,,Provide PDF to Cataloging - date confusion,9983308502042,WS2|Prep and export,Servetus_1531,,,2 Feature,,6/24/2015,,,,YES,7/15/2015,"Servetus, Michael",1531,De trinitatis erroribus [manuscript],,,,,,,,,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,2',,,
DL,7/28/2015,8/3/2015,8/5/2015,8/11/2015,8/15/2015,,hdx0,,99191717802042,Bagit2,Shakespeare_1632,,,2 Feature,,6/9/2015,,,,YES,,"Shakespeare, William",1632,"Mr. William Shakespeare's comedies, histories, and tragedies [Second Folio]",London,,,,HASSELBLAD. 910 images? 33 cm. Second folio.,"WS1, WS2",,,Nichols: 822.33 I1632,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,,,2nd
,,,,,,,,,99197953002042,,,,,3 Yes,,6/18/2015,,,,YES,7/15/2015,"Stevin, Simon",1634,Les œuvres mathematiques,Leiden,,,,,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99342084402042,,Stoeffler_1518,,,2 Feature,,6/15/2015,,,,YES,7/23/2015,"Stoeffler, Johann",1518,Calendarium Romanum magnum,Oppenheim,,,,HASSELBLAD. 160 images. 30 cm,,,,,History of Science Collections,Music of the Spheres,8/1/2015,8/31/2016,2'd,B3,,
,,,,,,,,,,,,,,N,SUBTRACT,6/30/2015,,,,-,,"Swammerdam, Jan",1682,Histoire generale des insectes,Utrecht,,,,,,,,,,,,,2',,,
,,,,,,,,,,,,,,N,SUBTRACT,,,,,-,,"Struyck, Nicolaas",1753,Vervolg van de Beschryving der Staartsterren,Amsterdam,,,,,,,,,National Weather Center,,8/1/2015,8/31/2016,2',B3,,
,,,,,,,,,9910868802042,,,,,3 Yes,ADD,6/19/2015,,,,YES,7/15/2015,"Tartaglia, Niccolo",1543,Euclide Megarense philosopho,Vienna,,,,CANON.,,,,,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,99258329702042,,Tartaglia_1558,,,2 Feature,,6/12/2015,,,,YES,7/15/2015,"Tartaglia, Niccolo",1558,La Noua Scientia,,,,,,,,,,History of Science Collections,"Galileo, Engineer",8/1/2015,8/31/2016,2',,,
DL,,7/10/2015,done,7/30/2015,7/30/2015,,hd7,8/19/2015,99138470802042,Bagit2,Tartaglia_1606,486,117,2 Feature,,5/15/2015,,,,YES,,"Tartaglia, Niccolo",1606,Opere del famosissimo... nova scientia,,,,,21 cm,,,150,,Fred Jones Jr. Museum of Art,,8/1/2015,8/31/2016,1,,,
,,,,,,,,,99215733002042,,Tasso_1624,,,2 Feature,,5/18/2015,,,,YES,7/9/2015,"Tasso, Torquato",1624,The recoverie of Jerusalem,London,,,,"[26], 392 p. : port. ; 28 cm. ",,,,Galileo's critique of Ariosto and Tasso            Nichols: PQ 4642 .E21 F3 1624,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
,,,,,,,,,99226736202042,,,,,3 Yes,ADD,6/30/2015,,,,,,"Tennyson, Lord",1843,Poems (2 volumes),London,,,,,,,,,,,,,,,,
,,,,,,,,,99290837602042,,,,,3 Yes,ADD,5/19/2015,,,,YES,7/9/2015,Theophrastus,1549,Dell’ historia delle plante,Vienna,,,,,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2c,,,
DL,,6/1/2014,,,done,,rsync2,7/20/2015,99123271902042,UL-Bagit [file archive],Topsell_1658,1109,285,3 Yes,,5/27/2015 ?,,,,YES,7/9/2015,"Topsell, Edward",1658,Historie of foure-footed beastes,London,,English,,1130 pp,,,,,Sam Noble Museum,"Galileo, Natural History and the Americas",8/1/2015,1/17/2016,2',,,
,,,,,,,,,9957880002042,,,,,N,SUBTRACT,-,,,,YES,7/15/2015,"Tulp, Nicolaas",1672,Observationes medicae,Amsterdam,,,,CANON. ,,,,,History of Science Collections,Exploration Room,8/1/2015,8/31/2016,2',,,
DL,,,redo,,-,,,,9935552902042,WS2|Prep and export / Bagit1,Valerio_1661,301,72,3 Yes,,6/16/2015,,,,YES,7/15/2015,"Valerio, Luca",1661,De centro gravitatis solidorvm,Bologna,,Latin,,,Special,,,AEL9801,History of Science Collections,New Physics,8/1/2015,8/31/2016,2',,,
,,,,,,,,,9949809302042,,Vasari_18xx,,,2 Feature,ADD,,,,,YES,7/15/2015,"Vasari, Giorgio",1878-1885,Le opere (9 volumes),Florence,,,,CANON. 9 v. ; |c 24 cm.,,,,,History of Science Collections; Fred Jones Jr. Museum of Art,Galileo and the Telescope,8/1/2015,8/31/2016,,,,
,,,,,,,,,99300319202042,,Vesalius_1543,,,2 Feature,,5/27/2015,,,,YES,7/30/2015,"Vesalius, Andreas",1543,De humanis corporis fabrica,Basel,,Latin,,"HASSELBLAD. 700 pages. 45 cm. Ad Divum Carolum quintummaximum , invictissimum que imper atorem... 1543. ",,710,142,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,1,B2,KM wants DL to digitize this,
,,,,,,,,,Cataloging needs PDF,,Vesalius_1545,,,3 Yes,,6/26/2015,,,,YES,,"Vesalius, Andreas",1545,De humani corporis fabrica,Basel?,,,,Second edition. NOT in catalog?,,,,,Headington Hall,,10/15/2015,4/15/2016,2',,,
DL,7/27/2015,8/3/2015,8/10/2015,8/11/2015,8/17/2015,,hdx2,,99345778702042,Bagit2,Vesalius_1546,,,3 Yes,,5/27/2015,,,,YES,,"Vesalius, Andreas",1546,Epistola,Basel,,,,HASSELBLAD. 240 images? 32 cm.,WS1,,,,"Bird Library, OUHSC",,8/1/2015,4/15/2016,2',B3,,
QC,8/18/2015,,,,,,,,99300686202042,WS|HoS,Aristotle_1556,,,2 Feature,ADD,5/11/2015,,,,,,"Vicomercati, Francesco [Aristotle]",1556,"Francisci Vicomercati mediolanensis, in qvatvor libros Aristotelis Meteorologicorvm [Meteorology]",Paris,,,,HASSELBLAD. 520 images. 34 cm.,,,,,National Weather Center,,8/1/2015,8/31/2016,2',B2,,
DL,8/12/2015,8/19/2015,8/25/2015,,,,,,99110069502042,WS2|Ready for script,Vincent_17xx,,,2 Feature,ADD,,,,,NO,,"Vincent, Levinus",1706-1715,Wondertooneel der Nature,Amsterdam,,,,CANON. 350 images. 23 cm. 2 v. in 1.,,,,,,,,,2c,,,
,,,,,,,,,99367449802042,,Viviani_1701,,,2 Feature,ADD,7/1/2015,,,,YES,7/15/2015,"Viviani, Vincenzo",1701,De locis solidis divinatio geometrica,Florence,,,,,,,,,History of Science Collections,Galileo Affair,8/1/2015,8/31/2016,,,,
DL,,,,,done,,hd2,7/16/2015,99348522602042,Bagit1,vonBell_1665,291,71,1 Highlight,,6/8/2015,,,,YES,7/15/2015,"von Bell, Johann Adam Schall",1665,"Historica narratio, de initio et progressu missionis Societatis Jesu apud Chinenses...",Vienna,,Latin,"China, astronomy, mathematics, calendar, Jesuits","The leading Jesuit astronomer in China, a mandarin (government position, like a cabinet member)",Special,,75.5,ocm38613680,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,1,,,
,,,,,,,,,Cataloging needs PDF,,Wegener_1924,,,2 Feature,ADD,6/30/2015,,,,,,"Wegener, Alfred",1924,The Origin of Continents and Oceans,London,,,,Need more info to find in catalog.,,,,,National Weather Center,,8/1/2015,8/31/2016,,,,
DL,,,,,done,,hd4,7/29/2015,9917796402042,Bagit2,Whitwell_1818,532,26,2 Feature,,5/14/2015,,,,YES,,"Whitwell, Catherine",1818,An Astronomical Catechism,London,,,,"CANON. [2], xii, 400, [4] p., [23] leaves of plates : ill. (some col.), maps ; 23 cm. ",,,,,Fred Jones Jr. Museum of Art,,1/21/2016,4/3/2016,2a,,,
On hold,7/1/2014,,,,,,,,99294648202042,WS|HoS|Paused,Wilkins_1684,388,93,3 Yes,,4/28/2015,,,,,,"Wilkins, John",1684,A discovery of a new world [... in the moon],London,,English,,about 360 pp. Two volumes in one. DL paused for conservation consultation - July 2014,,,7.18,HOS,National Weather Center,,,8/31/2016,2',,,
DL,,-,,,,,,,99552996902042,WS2|HoS,Williams_1871,216,21,3 Yes,,6/8/2015,,,,NO,7/15/2015,"Williams, John",1871,"Observations of Comets from B.C. 611 to A.D. 1640, Extracted from the Chinese Annals",London,,English,,,TempWS,,28,,History of Science Collections,Galileo and China,8/1/2015,8/31/2016,1,,"In a ""Proceedings""?",
DL,,done,,,,,,,99310563102042,WS|HoS|Ready to export,Wright_1750,176,42,3 Yes,,7/1/2015,,,,,,Wright,1750,An original theory or new hypothesis of the universe [New Theory of the Universe],,,English,,,WS1,,50,,National Weather Center,,,8/31/2016,1,,,
,,,,,,,,,99111185202042,,,,,3 Yes,,6/12/2015,,,,NO,,"Zonca, Vittorio",1621,Novo teatro di machine,Padua,,,,,,,,,,,,,2',,,
DL,,,,,done,,rsync2,7/19/2015,9983203402042,UL-Bagit [file archive],Zuniga_1591,609,167,2 Feature,,-,,,,NO,,"Zuniga, Diego de",1591,In Iob commentaria,Rome,,"Latin, Greek, Hebrew","Bible, Cosmology, Theology",Raws incorrectly named Stunica.,,,,Not cataloged,,,,,2',,"Earliest defense of Copernicus in Spain; a commentary on the book of Job. Stunica may be the way it appears on the title page, but the author is usually referred to as Zuniga.",
